post_date,engagement,close_value,volume,open_value,high_value,low_value,prev_close,return,price_class,len_modify_body,comp_clean,pos_clean,neg_clean,neu_clean
2019-01-01,3,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,28,0.5267,0.595,0.0,0.405
2019-01-01,153,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,75,0.9001,0.588,0.0,0.412
2019-01-01,3,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,83,0.9468,0.658,0.0,0.342
2019-01-01,4,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,44,0.6124,0.4,0.0,0.6
2019-01-01,2,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,83,0.9468,0.658,0.0,0.342
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,46,0.7783,0.531,0.0,0.469
2019-01-01,5,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,89,0.8555,0.549,0.164,0.287
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,53,0.5423,0.391,0.0,0.609
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,39,0.7003,0.592,0.0,0.408
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,73,0.34,0.393,0.234,0.374
2019-01-01,4,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,83,0.9468,0.658,0.0,0.342
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,6,0.4019,1.0,0.0,0.0
2019-01-01,5,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,39,0.7003,0.592,0.0,0.408
2019-01-01,12,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,100,-0.875,0.0,0.391,0.609
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,81,0.2023,0.141,0.0,0.859
2019-01-01,2,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,44,0.6705,0.573,0.31,0.117
2019-01-01,3,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,12,0.2023,0.474,0.0,0.526
2019-01-01,17,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,43,-0.9298,0.145,0.675,0.18
2019-01-01,7,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,26,0.0,0.4,0.4,0.2
2019-01-01,25,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,114,0.9001,0.512,0.279,0.209
2019-01-01,5,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,22,0.7184,0.714,0.0,0.286
2019-01-01,2,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,65,0.875,0.556,0.259,0.185
2019-01-01,1,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,19,0.0,0.0,0.0,1.0
2019-01-01,2,101.57,33161320,101.29,102.4,100.44,101.57,0.0,0,14,0.6124,0.667,0.0,0.333
