Entry
ABANDON
ABANDONMENT
ABDICATE
ABJECT
ABSCOND
ABSENCE
ABSENT
ABSENT-MINDED
ABSENTEE
ADDICT
ADDICTION
AFFLICTION
AFRAID
ALIBI
ALLEGE
AMBIVALENT
ANTIQUATED
ANXIETY
ANXIOUS
ANXIOUSNESS
APATHETIC
APATHY
APPREHENSIVE
ASHAMED
ASTRAY
ASUNDER
ATROPHY
AVERT
AVOID
AVOIDANCE
AWKWARD
AWKWARDNESS
BACKWARD
BACKWARDNESS
BAIL
BALK
BANE
BARREN
BASHFUL
BEG
BEGGAR
BEREAVEMENT
BEREFT
BESEECH
BLAND
BLEMISH
BLINDNESS
BLOCKHEAD
BLOODSHED
BLUNDER
BLUR
BONDAGE
BOUND
BREAKDOWN
BRITTLE
BROKE
BROKEN-HEARTED
BUCKLE
BUM
BUNGLE
BURDEN
CAPITULATE
CAPTIVE
CAREEN
CAVE
CHEAP
CHEAPEN
CHOKE
CHRONIC
COLLAPSE
COMMONER
CONFESS
CONFESSION
CONFUSE
CONFUSION
COVET
COWARD
CRAVE
CRAWL
CREDULOUS
CRUMBLE
CRUMPLE
DEAD
DEADLOCK
DEARTH
DEATH
DEBTOR
DECAY
DECLINE
DECREASE
DEFECT
DEFECTIVE
DEFENDANT
DEFENSIVE
DEFICIENCY
DEFICIENT
DEFICIT
DEGENERATE
DEJECTED
DELAY
DELINQUENCY
DELINQUENT
DELIRIUM
DELUSION
DEMISE
DEPENDENT
DEPRECIATE
DEPRESS
DEPRESSION
DESERT
DESOLATE
DESPAIR
DESPERATE
DESTITUTE
DEVOID
DIRE
DISADVANTAGE
DISADVANTAGEOUS
DISASTER
DISASTROUS
DISCONCERTED
DISCONTENT
DISCORD
DISCOURAGEMENT
DISEASED
DISGRACE
DISGUST
DISHEARTEN
DISHONEST
DISHONOR
DISINGENUOUS
DISMAL
DISORDER
DISORGANIZED
DISPENSABILITY
DISPLEASE
DISPLEASURE
DISSATISFY
DISTRESS
DIVISION
DOOM
DOUBTFUL
DREADFUL
DROOP
DROP
DROWN
DRUNK
DRUNKARD
DRUNKEN
DULL
DUMB
DYING
EDGE
EMBARRASSMENT
EMPTY
ENTREAT
EQUIVOCAL
ERR
ERRONEOUS
FAIL
FAILURE
FAINT
FALL
FALTER
FAMINE
FATIGUE
FAULT
FEARFUL
FEEBLE
FEVER
FEVERISH
FIASCO
FICKLE
FIDGET
FLAW
FLED
FLEE
FLIMSY
FLOUNDER
FOIBLE
FOOL
FOOLISH
FOOLISHNESS
FORFEIT
FORLORN
FORSAKE
FOUNDER
FRACTURE
FRAGILE
FRANTIC
FRAUD
FRAUDULENT
FRET
FRETFUL
FRUITLESS
FUMBLE
FUSS
FUTILITY
GRIEF
GUILTY
GULLIBLE
HACK
HAGGARD
HANDICAP
HAPLESS
HAZINESS
HEDGE
HELP
HELPLESS
HELPLESSNESS
HOBBLE
HOLE
HOLLOW
HOPELESS
HYSTERICAL
IGNORANCE
IGNORANT
ILL
ILLITERATE
ILLNESS
ILLOGICAL
IMMATURE
IMPLORE
IMPRISONMENT
INABILITY
INADEQUATE
INCAPABLE
INCORRECT
INFERIOR
INFERIORITY
INJURIOUS
INJURY
INSECURE
INSECURITY
INSIGNIFICANT
INSTABILITY
INSTABLE
INSUFFICIENCY
INSUFFICIENT
INTOLERABLE
IRRESPONSIBLE
LACK
LAG
LAME
LANGUISH
LAZILY
LAZY
LIABILITY
LIFELESS
LIMP
LONE
LONELINESS
LONELY
LONER
LOSE
LOSER
LOSS
LOST
LOW
LOWER
LOWLY
MAD
MALADJUSTED
MALADJUSTMENT
MALADY
MEAGER
MEANINGLESS
MEDIOCRE
MEEK
MENIAL
MIND
MISERABLE
MISERY
MISFORTUNE
MISS
MIX
MOURN
MUTTER
MYSELF>
NAIVE
NEED
NEEDY
NERVOUS
NERVOUSNESS
NOVICE
OBSOLETE
OMISSION
OMIT
ORDER
OVERWORKED
OWE
PALTRY
PANIC
PARALYSIS
PARALYZED
PARANOID
PASS
PASSE
PATHETIC
PERPLEX
PHOBIA
PIECE
PITIFUL
